"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ab_scoring","b_ball","b_called_strike","b_catcher_interf","b_foul","b_foul_tip","b_game","b_gnd_into_dp","b_gnd_into_tp","b_gnd_rule_double","b_hit_by_pitch","b_hit_ground","b_hit_fly","b_hit_into_play","b_hit_line_drive","b_hit_popup","b_out_fly","b_out_ground","b_out_line_drive","b_out_popup","b_intent_ball","b_intent_walk","b_interference","b_pinch_hit","b_pinch_run","b_pitchout","b_played_dh","b_sac_bunt","b_sac_fly","b_swinging_strike","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_run","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_sacrifices","b_total_strike","b_total_swinging_strike","b_total_pitches","r_stolen_base_pct","r_total_pickoff","b_reached_on_error","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","f_strike_percent","groundballs_percent","groundballs","flyballs_percent","flyballs","linedrives_percent","linedrives","popups_percent","popups","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba","n_outs_above_average","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent","rel_league_reaction_distance","rel_league_burst_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n_bolts","hp_to_1b","sprint_speed"
"DeLauter, Chase",800050,2026,24,55,63,15,6,4,0,5,11,7,17.5,11.1,".273",".618",".349","0.967","0.345",".250","12","21","34","0","0","8","107","42","0","43","1","16","3","0","0","0","2","7","45","6","0","7","15","5","2","0","0","0","1","0","0","7","0","1","18","0","0","0","0","0","0","0","0","9","0","0","0","112","1","149","18","261",,"0","0","0","0",".310",".599",".415",".418",".386",".289",".471",".475",".333",".384","-0.037",".019","-0.003","72",23.4,20.3,17,40.5,34,"7.3",4,6.3,-4.1,57.4,29.4,"93","13.2",44.4,8,17.8,4.4,26.7,22.2,28.9,0,51.1,"103.28249087","96.082075111",63.1,10.4,21.6,36.7,63.3,11,30,53.3,139,78.9,7.3,53,144,52,261,89.6,8,77,46.7,122,42.9,112,17.8,41,53.3,26.7,20,45,39.7,37.8,17,31.1,14,26.7,12,4.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.1"
"Benson, Will",666181,2026,28,28,32,5,3,1,1,0,10,4,31.3,12.5,".179",".286",".281","0.567","0.107",".278","1","14","8","1","0","7","50","14","0","28","3","15","0","0","1","0","1","1","18","3","0","6","4","0","3","0","0","0","6","1","0","1","0","0","20","1","0","0","0","0","0","0","0","1","0","0","0","53","0","84","20","137",,"0","0","0","0",".151",".194",".266",".224",".264",".043",".315",".242",".278",".245",".028",".092",".042","73.4",35.5,7.3,4.8,24.4,16.1,"7.8",0,17.4,-12,40.3,35.8,"89.4","30.5",27.8,0,0,5.6,16.7,50,11.1,5.6,22.2,"97.6641425","92.862110625",79.7,33.3,26,36.8,63.2,7,19,53.3,73,84.6,9.5,40,57,31,137,66.7,17,51,46.7,64,35,48,34.3,51.1,33.3,33.3,33.3,18,68.8,27.8,5,38.9,7,16.7,3,16.7,3,,,,,,,,,,,"1","1","2","50.0","0","0",,"0","1","0.0","0","0",,"3","3","100.0",,,,,,"3",,"27.3"
"Rumfield, TJ",681198,2026,26,56,63,17,13,1,1,2,12,6,19,9.5,".304",".464",".365","0.829","0.160",".349","8","22","26","0","0","10","82","29","0","47","0","17","1","0","0","0","0","3","45","14","0","9","15","1","3","0","0","0","1","0","0","3","0","1","26","0","0","0","0","0","0","1","0","6","0","0","0","85","1","148","26","233",,"1","0","0","0",".291",".474",".369",".358",".355",".183",".422",".406",".378",".363",".013","-0.010",".011","69.6",8.5,12.3,9.4,33.3,25.5,"6.7",1,12.7,-6.3,51.9,36,"88.5","17.5",46.7,4,8.9,11.1,24.4,26.7,26.7,2.2,42.2,"98.879668696","93.595180444",75,9,31.8,48.8,51.2,20,41,55.4,129,82.4,7.3,49,99,62,233,91,7,78,44.6,104,39.9,93,22.7,51.1,40,37.8,22.2,45,63.5,33.3,15,26.7,12,33.3,15,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.9"
"Rushing, Dalton",687221,2026,25,13,14,7,3,1,0,3,3,0,21.4,0,".538","1.308",".571","1.879","0.770",".571","4","3","17","0","0","3","15","8","0","4","0","4","0","0","0","1","1","3","10","3","0","1","1","0","1","0","0","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","0","16","0","26","4","42",,"0","0","0","0",".452","1.098",".793",".655",".491",".647","1.035",".843",".700",".587",".086",".210",".138","73.3",20,50,40,58.3,46.7,"7.5",0,12,-2.1,66.7,35,"99.3","25.7",60,3,30,0,30,20,10,10,60,"106.645892","100.549786667",61.9,23.1,23.8,20,80,1,5,50,21,100,7.1,1,20,16,42,76.9,3,13,50,21,54.8,23,22.2,42.9,70,20,10,10,71.4,20,2,40,4,30,3,10,1,"6","1.93","1.93","1.97","0",,,,"0.62","81.2",,,,,,,,,,,,,,,,,,,,,,,,
"Teodosio, Bryce",669326,2026,27,17,19,2,2,0,0,0,7,1,36.8,5.3,".118",".118",".167","0.285","0.000",".200","1","12","2","0","1","6","20","10","0","13","2","14","1","0","0","0","2","0","11","0","0","2","5","0","2","0","0","0","1","1","0","0","1","0","8","0","0","0","0","0","0","0","0","1","1","0","0","22","1","47","8","69",,"0","0","0","0",".123",".184",".141",".163",".171",".061",".182",".223",".200",".209","-0.005","-0.066","-0.022","70.4",6.5,9.1,6.5,22.7,16.1,"6.6",2,8.2,3.1,45.2,31.9,"85.8","10.2",9.1,1,9.1,0,0,27.3,45.5,18.2,18.2,"94.188268","91.094134",68.4,23.1,35.5,54.5,45.5,6,11,44.9,31,100,10.1,10,44,10,69,76.9,6,26,55.1,38,44.9,31,32.4,53.6,27.3,36.4,36.4,11,68.4,63.6,7,18.2,2,0,0,18.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"29.3"
"Alvarez, Francisco",682626,2026,24,46,55,13,8,1,0,4,10,6,18.2,10.9,".283",".565",".377","0.942","0.282",".281","4","16","26","0","0","6","75","38","2","33","3","16","3","0","0","1","6","4","36","3","0","6","11","4","2","0","0","0","0","0","0","1","0","0","21","0","0","0","0","0","0","0","0","7","0","0","0","81","0","133","21","214",,"0","0","0","2",".311",".703",".416",".465",".402",".393",".473",".545",".361",".397","-0.028","-0.138","-0.049","73.8",36.9,19.7,15.5,33.3,26.2,"7.4",3,9.4,-2.1,60.7,27.5,"89.6","6.9",33.3,8,22.2,2.8,25,11.1,36.1,2.8,50,"102.694977778","95.875321111",61.1,13.8,31.1,48.6,51.4,18,37,55.6,119,75,5.6,23,107,62,214,86.2,8,58,44.4,95,40.7,87,27.4,44.4,38.9,50,11.1,36,54.5,47.2,17,27.8,10,19.4,7,5.6,2,"2","1.98","2.04","1.91","0",,,,"0.73","83.5",,,,,,,,,,,,,,,,,,,,,,,"4.73","24.9"
"Basallo, Samuel",694212,2026,21,47,54,8,5,0,0,3,15,7,27.8,13,".170",".362",".278","0.640","0.192",".172","4","20","17","0","0","10","69","22","0","32","1","13","0","0","0","0","3","2","32","3","0","9","11","1","3","0","1","0","0","0","0","5","0","0","30","0","0","0","0","0","0","0","0","6","0","0","0","72","0","119","30","191",,"0","0","0","0",".201",".421",".286",".314",".307",".220",".340",".389",".250",".298","-0.031","-0.059","-0.028","75.2",50.6,20.7,13.8,39.7,26.4,"7.6",2,12.6,-4.7,52.9,32.4,"93.6","19.3",15.6,4,12.5,6.3,18.8,31.3,25,3.1,43.8,"103.413198125","96.736019355",75,23.3,33.3,51.4,48.6,19,37,58.1,111,71.4,3.7,34,90,57,191,76.7,14,60,41.9,80,46.1,88,34,50.8,34.4,46.9,18.8,32,50,43.8,14,34.4,11,12.5,4,9.4,3,"4","1.99","1.98","2.02","0",,,,"0.71","86.3",,,,,,,,,,,,,,,,,,,,,,,,"23.2"
"Larnach, Trevor",663616,2026,29,30,38,8,5,2,0,1,6,8,15.8,21.1,".267",".433",".421","0.854","0.166",".304","7","11","13","0","0","9","65","40","0","17","0","13","2","0","0","0","2","1","24","5","0","6","5","4","1","0","1","0","2","0","0","1","0","0","13","0","0","0","0","0","0","0","0","6","0","0","0","69","0","96","13","165",,"0","0","0","0",".286",".500",".385",".407",".436",".215",".385",".419",".333",".357","-0.019","-0.067","-0.022","70.5",16.3,16.7,12.2,44.4,32.7,"7.2",1,9.2,-17.3,38.8,31.7,"88","14.5",50,3,12.5,8.3,29.2,20.8,25,4.2,45.8,"99.573341667","93.786670833",42.9,13.3,27.4,42.3,57.7,11,26,57.6,95,55.6,5.5,34,80,43,165,86.7,4,30,42.4,70,38.8,64,26.8,33.9,29.2,54.2,16.7,24,55.3,29.2,7,29.2,7,37.5,9,4.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.7","-2.6","0.9","-2.3","33.7",,,"27.1"
"Taylor, Tyrone",621438,2026,32,22,23,4,2,1,0,1,2,1,8.7,4.3,".182",".364",".217","0.581","0.182",".158","4","9","8","0","0","5","27","9","0","20","1","11","0","0","0","0","1","2","20","1","0","7","6","2","1","0","0","0","4","3","0","1","0","0","9","0","0","0","0","0","0","0","0","3","0","0","0","27","0","59","9","86",,"0","0","0","0",".239",".408",".258",".297",".272",".169",".261",".306",".200",".263","-0.057","-0.044","-0.039","70.7",4.4,8.3,6.7,36.1,28.9,"7.3",0,9.2,-3.8,56.5,34.4,"85.3","18.5",30,1,5,10,20,35,25,5,20,"95.855118","91.927559",75.5,16.2,35.1,30.8,69.2,4,13,43,37,77.8,10.5,10,49,20,86,83.8,6,37,57,49,38.4,33,20,58.1,35,40,25,20,69.6,35,7,45,9,15,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.4"
"Quero, Edgar",700337,2026,23,41,47,6,6,0,0,0,10,5,21.3,10.6,".146",".146",".239","0.385","0.000",".194","0","28","6","0","1","10","66","27","0","36","2","13","2","0","0","0","3","0","32","3","0","9","16","1","0","0","0","0","1","0","0","0","1","0","20","0","0","0","0","0","0","0","0","1","1","0","0","74","1","120","20","194",,"0","0","0","0",".198",".248",".196",".251",".287",".050",".176",".258",".194",".264","-0.052","-0.102","-0.055","68",1.2,8.2,6.1,36.1,26.8,"6.9",0,6,5.6,56.1,27.9,"89.8","8.5",18.8,0,0,6.3,21.9,21.9,43.8,3.1,28.1,"97.217299333","92.934384",72.1,21,28.7,38.7,61.3,12,31,55.7,108,68.8,8.2,30,127,29,194,79,13,62,44.3,86,39.7,77,26.9,47.9,34.4,43.8,21.9,32,61.7,59.4,19,28.1,9,12.5,4,0,0,"4","1.97","2.08","1.94","0",,,,"0.59","81.3",,,,,,,,,,,,,,,,,,,,,,,,"23.6"
"Turner, Trea",607208,2026,33,71,75,18,13,4,0,1,16,4,21.3,5.3,".254",".352",".293","0.645","0.098",".315","6","31","25","0","1","17","87","50","0","52","3","17","2","0","0","0","8","3","55","7","0","15","16","4","2","0","0","0","1","0","0","0","0","0","35","0","0","0","0","0","0","0","0","12","1","0","0","90","0","195","35","285",,"0","0","0","0",".230",".287",".293",".250",".271",".058",".348",".290",".327",".296",".024",".065",".043","71.3",14.6,3.3,2.4,34.1,25.2,"7.7",3,10.1,-9.1,69.9,25,"87.3","14.9",25.5,1,1.8,1.8,25.5,36.4,30.9,3.6,27.3,"96.630234643","92.393574",65.2,14.1,36.8,47.2,52.8,25,53,50.5,144,86.4,7.7,35,158,60,285,85.9,13,92,49.5,141,38.6,110,26.2,50.9,34.5,38.2,27.3,55,70.7,43.6,24,32.7,18,20,11,3.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","4.27","30.1"
"Pederson, Joc",592626,2026,34,38,43,8,6,1,0,1,10,4,23.3,9.3,".211",".316",".279","0.595","0.105",".250","2","17","12","0","0","8","62","34","0","23","1","15","2","0","0","0","3","3","29","2","0","10","7","1","2","0","0","0","6","0","0","14","0","1","30","0","0","0","0","0","0","0","0","5","0","0","0","63","1","119","30","182",,"0","0","0","0",".147",".234",".272",".220",".231",".087",".306",".228",".276",".204",".064",".082",".052","72.5",25.7,15.6,9.5,42.2,25.7,"7.5",2,10.7,-2.7,52.7,26.5,"92","19.8",20.7,0,0,17.2,10.3,41.4,31,0,55.2,"100.226866667","95.133552759",60,33.3,30.5,48,52,12,25,45.1,82,77.8,4.9,30,96,44,182,66.7,20,60,54.9,100,40.1,73,37.6,46.7,41.4,24.1,34.5,29,58.1,34.5,10,44.8,13,13.8,4,6.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.5"
